sample,feature,value,label
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.409455697,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.250002145,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.000241828,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.000201279,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.04493314,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.664189358,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,5.32E-11,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.466502003,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.20349013,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.308380982,Contaminated
PE4516-S1_80_HQ0209-05_20,smoothened_af,0.494596218,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,2.12E-11,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.322007176,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.002585343,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.275553975,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.003415008,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,1.78E-07,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.143755408,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.245000834,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.000116448,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,4.03E-07,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.00358265,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.98018123,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.000222102,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,5.27E-14,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.341944072,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,7.41E-05,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.245725973,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.000352449,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,3.23E-14,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.002125011,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.704261036,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.641634155,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.480940114,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.334180876,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.950272995,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.244509511,Contaminated
HQ4496-05_97_HQ3065-R02_3,smoothened_af,0.749804569,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.673472945,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.852391962,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.237816407,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.098428031,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.921776709,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.998952021,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.9505834,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.615761468,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,3.70E-13,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,2.92E-12,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.993799828,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,3.99E-15,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.496966636,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.621698919,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.964167961,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.981275485,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.310048635,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,2.70E-06,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.32512646,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.358257383,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.99569296,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.641634155,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.637334659,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.597635797,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,8.95E-14,Contaminated
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.618866346,Contaminated
